DZA,Algeria,2020-04-10,Good Friday
ATG,Antigua and Barbuda,2020-06-01,Children's Day
BLR,Belarus,2020-10-01,National Day
AUS,Australia,2020-06-01,Children's Day
ARG,Argentina,2020-07-01,Canada Day
BWA,Botswana,2020-10-01,National Day
BIH,Bosnia and Herzegovina,2020-05-01,Labor Day
BHR, Bahrain,2020-07-01,Canada Day
BIH,Bosnia and Herzegovina,2020-09-01,Labor Day
BHR, Bahrain,2020-02-24,Emperor's Birthday
BLZ,Belize,2020-08-01,Bank Holiday
BES,Bonaire,2020-11-01,All Saints' Day
BOL,Bolivia,2020-05-01,Labor Day
AZE,Azerbaijan,2020-09-01,Labor Day
BRB,Barbados,2020-06-01,Children's Day
AND,Andorra,2020-07-01,Canada Day
ABW,Aruba,2020-01-24,Chinese New Year
BEL,Belgium,2020-01-01,New Year's Day
BLR,Belarus,2020-01-24,Chinese New Year
BES,Bonaire,2020-01-24,Chinese New Year
BMU,Bermuda,2020-02-24,Emperor's Birthday
BHR, Bahrain,2020-03-01,Independence Movement Day
BEN,Benin,2020-08-01,Bank Holiday
BMU,Bermuda,2020-10-01,National Day
AIA,Anguilla,2020-05-01,Labor Day
AIA,Anguilla,2020-01-24,Chinese New Year
BLR,Belarus,2020-04-10,Good Friday
BEL,Belgium,2020-05-01,Labor Day
AIA,Anguilla,2020-07-01,Canada Day
BLR,Belarus,2020-01-01,New Year's Day
BIH,Bosnia and Herzegovina,2020-01-01,New Year's Day
BRB,Barbados,2020-04-10,Good Friday
ATA,Antarctica (the territory South of 60 deg S),2020-07-01,Canada Day
DZA,Algeria,2020-03-01,Independence Movement Day
BEL,Belgium,2020-06-01,Children's Day
BMU,Bermuda,2020-04-10,Good Friday
AZE,Azerbaijan,2020-12-25,Christmas Day
BEL,Belgium,2020-02-24,Emperor's Birthday
AUS,Australia,2020-11-01,All Saints' Day
BTN, Bhutan,2020-04-10,Good Friday
BGD,Bangladesh,2020-06-01,Children's Day
BMU,Bermuda,2020-06-01,Children's Day
AIA,Anguilla,2020-11-01,All Saints' Day
ARM,Armenia,2020-10-01,National Day
BLZ,Belize,2020-04-10,Good Friday
AGO,Angola,2020-02-24,Emperor's Birthday
AIA,Anguilla,2020-01-01,New Year's Day
BRB,Barbados,2020-11-01,All Saints' Day
BVT,Bouvet Island (Bouvetoya),2020-07-01,Canada Day
BHR, Bahrain,2020-09-01,Labor Day
BWA,Botswana,2020-06-01,Children's Day
BEN,Benin,2020-10-01,National Day
BLZ,Belize,2020-06-01,Children's Day
AND,Andorra,2020-11-01,All Saints' Day
BLZ,Belize,2020-02-24,Emperor's Birthday
BWA,Botswana,2020-04-10,Good Friday
BOL,Bolivia,2020-07-01,Canada Day
BEN,Benin,2020-04-10,Good Friday
AIA,Anguilla,2020-09-01,Labor Day
ALB,Albania,2020-06-01,Children's Day
BEN,Benin,2020-02-24,Emperor's Birthday
BEL,Belgium,2020-10-01,National Day
BIH,Bosnia and Herzegovina,2020-06-01,Children's Day
ATG,Antigua and Barbuda,2020-11-01,All Saints' Day
BTN, Bhutan,2020-10-01,National Day
BES,Bonaire,2020-10-01,National Day
ARG,Argentina,2020-03-01,Independence Movement Day
AND,Andorra,2020-06-01,Children's Day
BMU,Bermuda,2020-12-25,Christmas Day
ABW,Aruba,2020-09-01,Labor Day
ALB,Albania,2020-01-01,New Year's Day
BHR, Bahrain,2020-08-01,Bank Holiday
ALB,Albania,2020-01-24,Chinese New Year
BEL,Belgium,2020-07-01,Canada Day
ATA,Antarctica (the territory South of 60 deg S),2020-01-24,Chinese New Year
AGO,Angola,2020-03-01,Independence Movement Day
AFG,Afghanistan,2020-12-25,Christmas Day
ARM,Armenia,2020-08-01,Bank Holiday
AZE,Azerbaijan,2020-11-01,All Saints' Day
ARG,Argentina,2020-10-01,National Day
BHS,Bahamas,2020-06-01,Children's Day
BEL,Belgium,2020-09-01,Labor Day
AUS,Australia,2020-01-24,Chinese New Year
BLZ,Belize,2020-01-01,New Year's Day
AUS,Australia,2020-04-10,Good Friday
AFG,Afghanistan,2020-11-01,All Saints' Day
BIH,Bosnia and Herzegovina,2020-04-10,Good Friday
BTN, Bhutan,2020-03-01,Independence Movement Day
BOL,Bolivia,2020-06-01,Children's Day
AUT,Austria,2020-05-01,Labor Day
DZA,Algeria,2020-10-01,National Day
AGO,Angola,2020-08-01,Bank Holiday
ARM,Armenia,2020-02-24,Emperor's Birthday
BLZ,Belize,2020-05-01,Labor Day
BIH,Bosnia and Herzegovina,2020-02-24,Emperor's Birthday
ATA,Antarctica (the territory South of 60 deg S),2020-11-01,All Saints' Day
BOL,Bolivia,2020-09-01,Labor Day
BHR, Bahrain,2020-12-25,Christmas Day
ARM,Armenia,2020-12-25,Christmas Day
AFG,Afghanistan,2020-08-01,Bank Holiday
